topic,batch,topicsperbatch,keywords,vol,group,totaltopic,totalvol,extract
240,24,10,one|nation|cox|brian|explain|senat|receipt|professor|watch|bro,409,240,2,675,0
241,25,10,make|differ|repo|month|children|hottest|coastal|propei|decis|#dataviz,271,241,1,271,0
242,25,10,vote|action|villag|real|reloc|alaskan|effect|rise|call|stori,452,242,1,452,0
243,25,10,scientist|year|ind|time|sta|show|tho|earlier|revol|began,519,243,2,1331,0
244,25,10,ice|impact|address|arctic|poll|one|coffe|right|ignor|melt,557,244,3,1398,32
245,25,10,nation|water|energi|end|park|fight|#natsciwk|risk|cost|tilt,506,245,1,506,0
246,25,10,scienc|happen|great|comm|tackl|malcolm|denial|denier|man|#scienc,617,60,2,1126,0
247,25,10,new|pay|fail|law|jeopardis|latest|thank|believ|creat|move,424,247,3,1558,25
248,25,10,need|world|plan|save|thing|adapt|greg|kid|good|eah,615,89,3,1959,18
249,25,10,target|stop|warn|extrem|sydney|lead|blown|lnp|prepar|power,424,232,2,871,0
250,25,10,now|peopl|blame|find|carbon|compani|#coal|planet|#renew|flood,611,217,5,2892,2
251,26,10,new|now|time|polit|denier|rise|sea|right|nation|act,903,228,4,3050,6
252,26,10,china|ratifi|pari|agreement|obama|#parisagr|deal|top|state|step,419,80,4,1914,12
253,26,10,repo|find|delay|special|hono|#phdchat|contact|phd|diddli|cca,271,253,1,271,0
254,26,10,impact|make|govern|peopl|real|talk|lnp|one|comm|moral,1063,18,2,1592,0
255,26,10,need|emiss|govt|polici|trade|carbon|debat|recommend|frydenberg|target,501,255,4,2256,9
256,26,10,latest|coffe|pai|effect|lead|commit|karoli|sign|david|clive,382,62,2,854,0
257,26,10,dissent|member|plan|dog|breakfast|view|david|today|readfearn|graham,225,257,1,225,0
258,26,10,board|advic|world|war|danger|coalit|show|address|#coal|stop,526,258,1,526,0
259,26,10,split|flood|scientist|beg|releas|minor|call|commiss|join|key,307,259,1,307,0
260,26,10,action|worst|perform|home|impedi|gen|wing|#actonclim|rate|megac,401,260,1,401,0
261,27,10,comic|xkcd|explain|form|book|#solar|epic|#insid|#sealevel|#csiro,232,261,1,232,0
262,27,10,tackl|threat|dissent|major|tilt|repo|gro|face|idiot|signific,480,262,1,480,0
263,27,10,move|concern|switch|half|rais|canberra|#coal|independ|coal|address,319,263,1,319,0
264,27,10,make|scientist|weather|ocean|believ|extrem|link|warn|faster|graham,432,45,3,959,36
265,27,10,now|power|polici|challeng|today|conseq|back|news|good|bitsi,480,265,2,1483,0
266,27,10,action|one|nation|talk|great|call|robe|malcolm|sign|risk,727,181,5,2251,3
267,27,10,new|year|flood|eah|increas|hottest|threaten|find|iss|sea,718,267,1,718,0
268,27,10,obama|world|temperat|trend|record|stop|act|affect|real|heat,567,268,1,567,0
269,27,10,need|peopl|impact|show|pacif|fight|rise|live|island|red,762,102,2,1277,0
270,27,10,chang|time|amaz|scroll|xkcd|timelin|case|strip|histori|forecast,282,270,1,282,0
271,28,10,risk|real|habitat|shrink|tackl|speci|major|threaten|disc|join,558,271,1,558,0
272,28,10,action|new|one|poll|day|skyrocket|tilt|#iag|angl|media,495,201,2,834,0
273,28,10,nation|impact|polit|back|record|play|lib|knowledg|#scienc|stood,466,273,1,466,0
274,28,10,world|scientist|fight|leader|lead|robe|csiro|malcolm|warn|eah,549,274,1,549,0
275,28,10,chang|peopl|time|talk|repo|sec|right|govern|kind|adapt,572,217,5,2892,2
276,28,10,call|donald|deni|scienc|increas|denier|challeng|effect|claim|tweet,532,276,1,532,0
277,28,10,make|creat|chines|concept|order|man|pari|ocean|comm|agreement,350,277,2,958,0
278,28,10,believ|now|great|barrier|reef|death|find|depress|ghostli|happen,422,41,4,2535,8
279,28,10,show|#debatenight|level|rise|serio|#coal|govt|oil|energi|conspiraci,422,279,1,422,0
280,28,10,need|hoax|carbon|year|stop|ignor|polici|emiss|#thedr|latest,633,255,4,2256,9
281,29,10,first|job|tackl|protect|gov|minimis|wind|show|rain|lose,372,281,1,372,0
282,29,10,#sastorm|link|#renew|expe|fact|blacko|incl|sheet|media|idiot,341,282,1,341,0
283,29,10,renew|energi|new|scientist|#scienc|year|time|impact|donald|attack,707,125,4,3361,4
284,29,10,weather|extrem|coal|res|event|renew|fire|direct|scrap|confront,540,284,3,1458,28
285,29,10,storm|coz|massiv|preview|hit|tower|transmiss|drop|perfect|drive,489,285,1,489,0
286,29,10,now|believ|peopl|thing|good|#debatenight|big|repo|govt|green,653,208,3,1842,21
287,29,10,blame|polici|sol|danger|#sablacko|fossil|senat|sever|key|#defendrenew,407,287,1,407,0
288,29,10,power|deni|#renewableenergi|rwnj|dear|ceas|hat|ascens|nonsens|destroy,311,288,1,311,0
